,avg_reward,best_reward,episode,q_vals,avg_steps,best_steps
103,-1.0,-1.0,5150,-0.8293587565422058,15.7,23
104,-1.0,-1.0,5200,-0.8099488615989685,7.2,18
105,-0.6,1.0,5250,-0.8238810896873474,21.5,28
106,-1.0,-1.0,5300,-0.8092441558837891,6.0,6
107,-1.0,-1.0,5350,-0.8103815913200378,7.7,15
108,-1.0,-1.0,5400,-0.8172221779823303,7.5,21
109,-1.0,-1.0,5450,-0.8565217852592468,17.2,21
110,-1.0,-1.0,5500,-0.7804986238479614,10.8,21
111,-1.0,-1.0,5550,-0.8050302267074585,18.5,24
112,-1.0,-1.0,5600,-0.8005066514015198,6.1,7
113,-1.0,-1.0,5650,-0.7815234661102295,6.0,6
114,-1.0,-1.0,5700,-0.799172043800354,6.3,7
115,-1.0,-1.0,5750,-0.8333519697189331,7.3,11
116,-1.0,-1.0,5800,-0.8259651064872742,7.3,19
117,-1.0,-1.0,5850,-0.8294710516929626,6.0,6
118,-0.8,1.0,5900,-0.8023346066474915,9.3,28
119,-1.0,-1.0,5950,-0.7568603157997131,20.6,23
120,-1.0,-1.0,6000,-0.7863823175430298,7.0,7
121,-1.0,-1.0,6050,-0.7988687753677368,9.0,16
122,-1.0,-1.0,6100,-0.7863357067108154,17.5,25
123,-1.0,-1.0,6150,-0.7966424822807312,6.0,6
124,-1.0,-1.0,6200,-0.7671634554862976,22.8,25
125,-1.0,-1.0,6250,-0.7671884298324585,8.8,20
126,-1.0,-1.0,6300,-0.8036282658576965,14.2,19
127,-1.0,-1.0,6350,-0.7795001268386841,14.1,26
128,-1.0,-1.0,6400,-0.8275914192199707,6.0,6
129,-1.0,-1.0,6450,-0.8061471581459045,15.3,23
130,-1.0,-1.0,6500,-0.8329160809516907,16.5,23
131,-1.0,-1.0,6550,-0.8324388861656189,7.0,7
132,-1.0,-1.0,6600,-0.8235421776771545,6.0,6
133,-1.0,-1.0,6650,-0.8505567312240601,7.0,7
134,-1.0,-1.0,6700,-0.8069583773612976,6.0,6
135,-0.8,1.0,6750,-0.8073763251304626,19.4,28
136,-1.0,-1.0,6800,-0.791659951210022,19.3,27
137,-1.0,-1.0,6850,-0.7872267961502075,18.5,21
138,-1.0,-1.0,6900,-0.8181529641151428,17.2,21
139,-1.0,-1.0,6950,-0.7976317405700684,9.7,13
140,-1.0,-1.0,7000,-0.8228356838226318,23.8,26
141,0.2,1.0,7050,-0.8101125955581665,25.5,28
142,-1.0,-1.0,7100,-0.7853329181671143,18.7,26
143,-1.0,-1.0,7150,-0.8099770545959473,17.0,22
144,-1.0,-1.0,7200,-0.812538206577301,6.0,6
145,-1.0,-1.0,7250,-0.7988550662994385,15.3,20
146,-1.0,-1.0,7300,-0.7932551503181458,8.8,21
147,-1.0,-1.0,7350,-0.7712162137031555,6.0,6
148,-1.0,-1.0,7400,-0.8046678900718689,15.6,25
149,-1.0,-1.0,7450,-0.794016420841217,6.0,6
